pair_id,frame_id,frame_type,frame_probe,lang,lang_name,family,script,neg_strategy,affirmative,negative,neg_exponent,confidence
F02-fi,F02,existential,negative existential,fi,Finnish,Uralic,Latn,negative auxiliary verb,Lasissa on vettä.,Lasissa ei ole vettä.,ei,B
F02-hu,F02,existential,negative existential,hu,Hungarian,Uralic,Latn,nem / ne,Van víz a pohárban.,Nincs víz a pohárban.,nincs,B
F02-zh,F02,existential,negative existential,zh,Mandarin,Sino-Tibetan,Hans,bu / mei(you),杯子里有水。,杯子里没有水。,没有,B
F02-ja,F02,existential,negative existential,ja,Japanese,Japonic,Jpan,suffix -nai,コップに水がある。,コップに水がない。,ない,B
F02-ko,F02,existential,negative existential,ko,Korean,Koreanic,Kore,an- / -ji anh- / mot,컵에 물이 있다.,컵에 물이 없다.,없다,B
F02-vi,F02,existential,negative existential,vi,Vietnamese,Austroasiatic,Latn,khong,Trong cốc có nước.,Trong cốc không có nước.,không có,C
F02-id,F02,existential,negative existential,id,Indonesian,Austronesian,Latn,tidak / bukan,Ada air di gelas.,Tidak ada air di gelas.,tidak ada,B
F02-sw,F02,existential,negative existential,sw,Swahili,Niger-Congo,Latn,negative verb morphology,Kuna maji kwenye glasi.,Hakuna maji kwenye glasi.,hakuna,C
F02-ta,F02,existential,negative existential,ta,Tamil,Dravidian,Taml,illai / alla,கண்ணாடியில் தண்ணீர் இருக்கிறது.,கண்ணாடியில் தண்ணீர் இல்லை.,இல்லை,C
F02-ga,F02,existential,negative existential,ga,Irish,IE/Celtic,Latn,ni / nil / nior / na,Tá uisce sa ghloine.,Níl uisce sa ghloine.,níl,C
F02-ka,F02,existential,negative existential,ka,Georgian,Kartvelian,Geor,ar / ver / nu,ჭიქაში წყალია.,ჭიქაში წყალი არ არის.,არ,C
F03-en,F03,possessive,have-negation,en,English,IE/Germanic,Latn,particle+do-support,I have a key.,I do not have a key.,not,A
F03-es,F03,possessive,have-negation,es,Spanish,IE/Romance,Latn,preverbal particle,Tengo una llave.,No tengo llave.,no,A
F03-fr,F03,possessive,have-negation,fr,French,IE/Romance,Latn,bipartite ne...pas,J'ai une clé.,Je n'ai pas de clé.,ne...pas + de,A
F03-pt,F03,possessive,have-negation,pt,Portuguese,IE/Romance,Latn,preverbal particle,Tenho uma chave.,Não tenho chave.,não,A
F03-de,F03,possessive,have-negation,de,German,IE/Germanic,Latn,particle + kein,Ich habe einen Schlüssel.,Ich habe keinen Schlüssel.,kein,A
F03-ru,F03,possessive,have-negation,ru,Russian,IE/Slavic,Cyrl,particle + net,У меня есть ключ.,У меня нет ключа.,нет + GEN,A
F03-pl,F03,possessive,have-negation,pl,Polish,IE/Slavic,Latn,particle nie,Mam klucz.,Nie mam klucza.,nie + GEN,B
F03-el,F03,possessive,have-negation,el,Greek,IE/Hellenic,Grek,den / min,Έχω ένα κλειδί.,Δεν έχω κλειδί.,δεν,B
F03-hi,F03,possessive,have-negation,hi,Hindi,IE/Indo-Aryan,Deva,nahin / mat / na,मेरे पास एक चाबी है।,मेरे पास चाबी नहीं है।,नहीं,B
F03-fa,F03,possessive,have-negation,fa,Persian,IE/Iranian,Arab,verbal prefix na-,من یک کلید دارم.,من کلید ندارم.,ن-,B
F03-ar,F03,possessive,have-negation,ar,Arabic MSA,Afro-Asiatic,Arab,la/ma/lam/lan/laysa,عندي مفتاح.,ليس عندي مفتاح.,ليس,B
F03-he,F03,possessive,have-negation,he,Hebrew,Afro-Asiatic,Hebr,lo / ein / al,יש לי מפתח.,אין לי מפתח.,אין,B
F03-tr,F03,possessive,have-negation,tr,Turkish,Turkic,Latn,suffix -mA-,Bir anahtarım var.,Anahtarım yok.,yok,B
F03-fi,F03,possessive,have-negation,fi,Finnish,Uralic,Latn,negative auxiliary verb,Minulla on avain.,Minulla ei ole avainta.,ei,B
F03-hu,F03,possessive,have-negation,hu,Hungarian,Uralic,Latn,nem / ne,Van kulcsom.,Nincs kulcsom.,nincs,B
F03-zh,F03,possessive,have-negation,zh,Mandarin,Sino-Tibetan,Hans,bu / mei(you),我有一把钥匙。,我没有钥匙。,没有,B
F03-ja,F03,possessive,have-negation,ja,Japanese,Japonic,Jpan,suffix -nai,鍵を持っている。,鍵を持っていない。,-ない,B
F03-ko,F03,possessive,have-negation,ko,Korean,Koreanic,Kore,an- / -ji anh- / mot,나는 열쇠가 있다.,나는 열쇠가 없다.,없다,B
F03-vi,F03,possessive,have-negation,vi,Vietnamese,Austroasiatic,Latn,khong,Tôi có một chiếc chìa khóa.,Tôi không có chìa khóa.,không,C
F03-id,F03,possessive,have-negation,id,Indonesian,Austronesian,Latn,tidak / bukan,Saya punya kunci.,Saya tidak punya kunci.,tidak,B
F03-sw,F03,possessive,have-negation,sw,Swahili,Niger-Congo,Latn,negative verb morphology,Nina ufunguo.,Sina ufunguo.,si-,C
F03-ta,F03,possessive,have-negation,ta,Tamil,Dravidian,Taml,illai / alla,என்னிடம் சாவி இருக்கிறது.,என்னிடம் சாவி இல்லை.,இல்லை,C
F03-ga,F03,possessive,have-negation,ga,Irish,IE/Celtic,Latn,ni / nil / nior / na,Tá eochair agam.,Níl eochair agam.,níl,C
F03-ka,F03,possessive,have-negation,ka,Georgian,Kartvelian,Geor,ar / ver / nu,მე მაქვს გასაღები.,მე არ მაქვს გასაღები.,არ,C
F04-en,F04,dynamic_habitual,"standard negation, imperfective",en,English,IE/Germanic,Latn,particle+do-support,She drinks coffee.,She does not drink coffee.,not (do-support),A
F04-es,F04,dynamic_habitual,"standard negation, imperfective",es,Spanish,IE/Romance,Latn,preverbal particle,Ella bebe café.,Ella no bebe café.,no,A
F04-fr,F04,dynamic_habitual,"standard negation, imperfective",fr,French,IE/Romance,Latn,bipartite ne...pas,Elle boit du café.,Elle ne boit pas de café.,ne...pas + de,A
F04-pt,F04,dynamic_habitual,"standard negation, imperfective",pt,Portuguese,IE/Romance,Latn,preverbal particle,Ela bebe café.,Ela não bebe café.,não,A
F04-de,F04,dynamic_habitual,"standard negation, imperfective",de,German,IE/Germanic,Latn,particle + kein,Sie trinkt Kaffee.,Sie trinkt keinen Kaffee.,kein,A
F04-ru,F04,dynamic_habitual,"standard negation, imperfective",ru,Russian,IE/Slavic,Cyrl,particle + net,Она пьёт кофе.,Она не пьёт кофе.,не,A
F04-pl,F04,dynamic_habitual,"standard negation, imperfective",pl,Polish,IE/Slavic,Latn,particle nie,Ona pije kawę.,Ona nie pije kawy.,nie + GEN,B
F04-el,F04,dynamic_habitual,"standard negation, imperfective",el,Greek,IE/Hellenic,Grek,den / min,Πίνει καφέ.,Δεν πίνει καφέ.,δεν,B
F04-hi,F04,dynamic_habitual,"standard negation, imperfective",hi,Hindi,IE/Indo-Aryan,Deva,nahin / mat / na,वह कॉफ़ी पीती है।,वह कॉफ़ी नहीं पीती।,नहीं,B
F04-fa,F04,dynamic_habitual,"standard negation, imperfective",fa,Persian,IE/Iranian,Arab,verbal prefix na-,او قهوه می‌نوشد.,او قهوه نمی‌نوشد.,نمی-,B
F04-ar,F04,dynamic_habitual,"standard negation, imperfective",ar,Arabic MSA,Afro-Asiatic,Arab,la/ma/lam/lan/laysa,هي تشرب القهوة.,هي لا تشرب القهوة.,لا,B
F04-he,F04,dynamic_habitual,"standard negation, imperfective",he,Hebrew,Afro-Asiatic,Hebr,lo / ein / al,היא שותה קפה.,היא לא שותה קפה.,לא,B
F04-tr,F04,dynamic_habitual,"standard negation, imperfective",tr,Turkish,Turkic,Latn,suffix -mA-,O kahve içer.,O kahve içmez.,-mez,B
F04-fi,F04,dynamic_habitual,"standard negation, imperfective",fi,Finnish,Uralic,Latn,negative auxiliary verb,Hän juo kahvia.,Hän ei juo kahvia.,ei,B
F04-hu,F04,dynamic_habitual,"standard negation, imperfective",hu,Hungarian,Uralic,Latn,nem / ne,Ő kávét iszik.,Ő nem iszik kávét.,nem,B
F04-zh,F04,dynamic_habitual,"standard negation, imperfective",zh,Mandarin,Sino-Tibetan,Hans,bu / mei(you),她喝咖啡。,她不喝咖啡。,不,B
F04-ja,F04,dynamic_habitual,"standard negation, imperfective",ja,Japanese,Japonic,Jpan,suffix -nai,彼女はコーヒーを飲む。,彼女はコーヒーを飲まない。,-ない,B
F04-ko,F04,dynamic_habitual,"standard negation, imperfective",ko,Korean,Koreanic,Kore,an- / -ji anh- / mot,그녀는 커피를 마신다.,그녀는 커피를 마시지 않는다.,-지 않다,B
F04-vi,F04,dynamic_habitual,"standard negation, imperfective",vi,Vietnamese,Austroasiatic,Latn,khong,Cô ấy uống cà phê.,Cô ấy không uống cà phê.,không,C
F04-id,F04,dynamic_habitual,"standard negation, imperfective",id,Indonesian,Austronesian,Latn,tidak / bukan,Dia minum kopi.,Dia tidak minum kopi.,tidak,B
F04-sw,F04,dynamic_habitual,"standard negation, imperfective",sw,Swahili,Niger-Congo,Latn,negative verb morphology,Anakunywa kahawa.,Hanywi kahawa.,ha- ... -i,C
F04-ta,F04,dynamic_habitual,"standard negation, imperfective",ta,Tamil,Dravidian,Taml,illai / alla,அவள் காபி குடிக்கிறாள்.,அவள் காபி குடிப்பதில்லை.,-இல்லை,C
F04-ga,F04,dynamic_habitual,"standard negation, imperfective",ga,Irish,IE/Celtic,Latn,ni / nil / nior / na,Ólann sí caife.,Ní ólann sí caife.,ní,C
F04-ka,F04,dynamic_habitual,"standard negation, imperfective",ka,Georgian,Kartvelian,Geor,ar / ver / nu,ის ყავას სვამს.,ის ყავას არ სვამს.,არ,C
F05-en,F05,past_perfective,"standard negation, perfective",en,English,IE/Germanic,Latn,particle+do-support,He arrived yesterday.,He did not arrive yesterday.,not (do-support),A
F05-es,F05,past_perfective,"standard negation, perfective",es,Spanish,IE/Romance,Latn,preverbal particle,Llegó ayer.,No llegó ayer.,no,A
F05-fr,F05,past_perfective,"standard negation, perfective",fr,French,IE/Romance,Latn,bipartite ne...pas,Il est arrivé hier.,Il n'est pas arrivé hier.,ne...pas,A
F05-pt,F05,past_perfective,"standard negation, perfective",pt,Portuguese,IE/Romance,Latn,preverbal particle,Ele chegou ontem.,Ele não chegou ontem.,não,A
F05-de,F05,past_perfective,"standard negation, perfective",de,German,IE/Germanic,Latn,particle + kein,Er ist gestern angekommen.,Er ist gestern nicht angekommen.,nicht,A
F05-ru,F05,past_perfective,"standard negation, perfective",ru,Russian,IE/Slavic,Cyrl,particle + net,Он приехал вчера.,Он не приехал вчера.,не,A
F05-pl,F05,past_perfective,"standard negation, perfective",pl,Polish,IE/Slavic,Latn,particle nie,Przyjechał wczoraj.,Nie przyjechał wczoraj.,nie,B
F05-el,F05,past_perfective,"standard negation, perfective",el,Greek,IE/Hellenic,Grek,den / min,Έφτασε χθες.,Δεν έφτασε χθες.,δεν,B
F05-hi,F05,past_perfective,"standard negation, perfective",hi,Hindi,IE/Indo-Aryan,Deva,nahin / mat / na,वह कल आया।,वह कल नहीं आया।,नहीं,B
F05-fa,F05,past_perfective,"standard negation, perfective",fa,Persian,IE/Iranian,Arab,verbal prefix na-,او دیروز رسید.,او دیروز نرسید.,ن-,B
F05-ar,F05,past_perfective,"standard negation, perfective",ar,Arabic MSA,Afro-Asiatic,Arab,la/ma/lam/lan/laysa,وصل أمس.,لم يصل أمس.,لم + jussive,B
F05-he,F05,past_perfective,"standard negation, perfective",he,Hebrew,Afro-Asiatic,Hebr,lo / ein / al,הוא הגיע אתמול.,הוא לא הגיע אתמול.,לא,B
F05-tr,F05,past_perfective,"standard negation, perfective",tr,Turkish,Turkic,Latn,suffix -mA-,Dün geldi.,Dün gelmedi.,-me-,B
F05-fi,F05,past_perfective,"standard negation, perfective",fi,Finnish,Uralic,Latn,negative auxiliary verb,Hän saapui eilen.,Hän ei saapunut eilen.,ei + past ptcp,B
F05-hu,F05,past_perfective,"standard negation, perfective",hu,Hungarian,Uralic,Latn,nem / ne,Tegnap megérkezett.,Tegnap nem érkezett meg.,nem (+ preverb split),B
F05-zh,F05,past_perfective,"standard negation, perfective",zh,Mandarin,Sino-Tibetan,Hans,bu / mei(you),他昨天到了。,他昨天没到。,没 (le drops),B
F05-ja,F05,past_perfective,"standard negation, perfective",ja,Japanese,Japonic,Jpan,suffix -nai,彼は昨日着いた。,彼は昨日着かなかった。,-なかった,B
F05-ko,F05,past_perfective,"standard negation, perfective",ko,Korean,Koreanic,Kore,an- / -ji anh- / mot,그는 어제 도착했다.,그는 어제 도착하지 않았다.,-지 않았다,B
F05-vi,F05,past_perfective,"standard negation, perfective",vi,Vietnamese,Austroasiatic,Latn,khong,Anh ấy đã đến hôm qua.,Anh ấy đã không đến hôm qua.,không,C
F05-id,F05,past_perfective,"standard negation, perfective",id,Indonesian,Austronesian,Latn,tidak / bukan,Dia tiba kemarin.,Dia tidak tiba kemarin.,tidak,B
F05-sw,F05,past_perfective,"standard negation, perfective",sw,Swahili,Niger-Congo,Latn,negative verb morphology,Alifika jana.,Hakufika jana.,ha- + -ku-,C
F05-ta,F05,past_perfective,"standard negation, perfective",ta,Tamil,Dravidian,Taml,illai / alla,அவன் நேற்று வந்தான்.,அவன் நேற்று வரவில்லை.,-வில்லை,C
F05-ga,F05,past_perfective,"standard negation, perfective",ga,Irish,IE/Celtic,Latn,ni / nil / nior / na,Tháinig sé inné.,Níor tháinig sé inné.,níor (past),C
F05-ka,F05,past_perfective,"standard negation, perfective",ka,Georgian,Kartvelian,Geor,ar / ver / nu,ის გუშინ ჩამოვიდა.,ის გუშინ არ ჩამოვიდა.,არ,C
F06-en,F06,future,"standard negation, prospective",en,English,IE/Germanic,Latn,particle+do-support,They will come tomorrow.,They will not come tomorrow.,not,A
F06-es,F06,future,"standard negation, prospective",es,Spanish,IE/Romance,Latn,preverbal particle,Vendrán mañana.,No vendrán mañana.,no,A
F06-fr,F06,future,"standard negation, prospective",fr,French,IE/Romance,Latn,bipartite ne...pas,Ils viendront demain.,Ils ne viendront pas demain.,ne...pas,A
F06-pt,F06,future,"standard negation, prospective",pt,Portuguese,IE/Romance,Latn,preverbal particle,Eles virão amanhã.,Eles não virão amanhã.,não,A
F06-de,F06,future,"standard negation, prospective",de,German,IE/Germanic,Latn,particle + kein,Sie werden morgen kommen.,Sie werden morgen nicht kommen.,nicht,A
F06-ru,F06,future,"standard negation, prospective",ru,Russian,IE/Slavic,Cyrl,particle + net,Они придут завтра.,Они не придут завтра.,не,A
F06-pl,F06,future,"standard negation, prospective",pl,Polish,IE/Slavic,Latn,particle nie,Przyjdą jutro.,Nie przyjdą jutro.,nie,B
F06-el,F06,future,"standard negation, prospective",el,Greek,IE/Hellenic,Grek,den / min,Θα έρθουν αύριο.,Δεν θα έρθουν αύριο.,δεν,B
F06-hi,F06,future,"standard negation, prospective",hi,Hindi,IE/Indo-Aryan,Deva,nahin / mat / na,वे कल आएंगे।,वे कल नहीं आएंगे।,नहीं,B
F06-fa,F06,future,"standard negation, prospective",fa,Persian,IE/Iranian,Arab,verbal prefix na-,آنها فردا می‌آیند.,آنها فردا نمی‌آیند.,نمی-,B
F06-ar,F06,future,"standard negation, prospective",ar,Arabic MSA,Afro-Asiatic,Arab,la/ma/lam/lan/laysa,سيأتون غدًا.,لن يأتوا غدًا.,لن + subjunctive,B
F06-he,F06,future,"standard negation, prospective",he,Hebrew,Afro-Asiatic,Hebr,lo / ein / al,הם יבואו מחר.,הם לא יבואו מחר.,לא,B
F06-tr,F06,future,"standard negation, prospective",tr,Turkish,Turkic,Latn,suffix -mA-,Yarın gelecekler.,Yarın gelmeyecekler.,-me-,B
F06-fi,F06,future,"standard negation, prospective",fi,Finnish,Uralic,Latn,negative auxiliary verb,He tulevat huomenna.,He eivät tule huomenna.,eivät (3PL),B
F06-hu,F06,future,"standard negation, prospective",hu,Hungarian,Uralic,Latn,nem / ne,Holnap jönnek.,Holnap nem jönnek.,nem,B
F06-zh,F06,future,"standard negation, prospective",zh,Mandarin,Sino-Tibetan,Hans,bu / mei(you),他们明天来。,他们明天不来。,不,B
F06-ja,F06,future,"standard negation, prospective",ja,Japanese,Japonic,Jpan,suffix -nai,彼らは明日来る。,彼らは明日来ない。,-ない,B
F06-ko,F06,future,"standard negation, prospective",ko,Korean,Koreanic,Kore,an- / -ji anh- / mot,그들은 내일 온다.,그들은 내일 오지 않는다.,-지 않다,B
F06-vi,F06,future,"standard negation, prospective",vi,Vietnamese,Austroasiatic,Latn,khong,Họ sẽ đến vào ngày mai.,Họ sẽ không đến vào ngày mai.,không,C
F06-id,F06,future,"standard negation, prospective",id,Indonesian,Austronesian,Latn,tidak / bukan,Mereka akan datang besok.,Mereka tidak akan datang besok.,tidak,B
F06-sw,F06,future,"standard negation, prospective",sw,Swahili,Niger-Congo,Latn,negative verb morphology,Watakuja kesho.,Hawatakuja kesho.,hawa- + -ta-,C
F06-ta,F06,future,"standard negation, prospective",ta,Tamil,Dravidian,Taml,illai / alla,அவர்கள் நாளை வருவார்கள்.,அவர்கள் நாளை வரமாட்டார்கள்.,-மாட்ட-,C
F06-ga,F06,future,"standard negation, prospective",ga,Irish,IE/Celtic,Latn,ni / nil / nior / na,Tiocfaidh siad amárach.,Ní thiocfaidh siad amárach.,ní + lenition,C
F06-ka,F06,future,"standard negation, prospective",ka,Georgian,Kartvelian,Geor,ar / ver / nu,ისინი ხვალ მოვლენ.,ისინი ხვალ არ მოვლენ.,არ,C
F07-en,F07,nominal_predicate,negation of an NP predicate,en,English,IE/Germanic,Latn,particle+do-support,This is a book.,This is not a book.,not,A
F07-es,F07,nominal_predicate,negation of an NP predicate,es,Spanish,IE/Romance,Latn,preverbal particle,Esto es un libro.,Esto no es un libro.,no,A
F07-fr,F07,nominal_predicate,negation of an NP predicate,fr,French,IE/Romance,Latn,bipartite ne...pas,Ceci est un livre.,Ceci n'est pas un livre.,ne...pas,A
F07-pt,F07,nominal_predicate,negation of an NP predicate,pt,Portuguese,IE/Romance,Latn,preverbal particle,Isto é um livro.,Isto não é um livro.,não,A
F07-de,F07,nominal_predicate,negation of an NP predicate,de,German,IE/Germanic,Latn,particle + kein,Das ist ein Buch.,Das ist kein Buch.,kein,A
F07-ru,F07,nominal_predicate,negation of an NP predicate,ru,Russian,IE/Slavic,Cyrl,particle + net,Это книга.,Это не книга.,не,A
F07-pl,F07,nominal_predicate,negation of an NP predicate,pl,Polish,IE/Slavic,Latn,particle nie,To jest książka.,To nie jest książka.,nie,B
F07-el,F07,nominal_predicate,negation of an NP predicate,el,Greek,IE/Hellenic,Grek,den / min,Αυτό είναι ένα βιβλίο.,Αυτό δεν είναι βιβλίο.,δεν,B
F07-hi,F07,nominal_predicate,negation of an NP predicate,hi,Hindi,IE/Indo-Aryan,Deva,nahin / mat / na,यह एक किताब है।,यह किताब नहीं है।,नहीं,B
F07-fa,F07,nominal_predicate,negation of an NP predicate,fa,Persian,IE/Iranian,Arab,verbal prefix na-,این یک کتاب است.,این کتاب نیست.,نیست,B
F07-ar,F07,nominal_predicate,negation of an NP predicate,ar,Arabic MSA,Afro-Asiatic,Arab,la/ma/lam/lan/laysa,هذا كتاب.,ليس هذا كتابًا.,ليس (neg. copula),B
F07-he,F07,nominal_predicate,negation of an NP predicate,he,Hebrew,Afro-Asiatic,Hebr,lo / ein / al,זה ספר.,זה לא ספר.,לא,B
F07-tr,F07,nominal_predicate,negation of an NP predicate,tr,Turkish,Turkic,Latn,suffix -mA-,Bu bir kitap.,Bu bir kitap değil.,değil (nominal only),B
F07-fi,F07,nominal_predicate,negation of an NP predicate,fi,Finnish,Uralic,Latn,negative auxiliary verb,Tämä on kirja.,Tämä ei ole kirja.,ei,B
F07-hu,F07,nominal_predicate,negation of an NP predicate,hu,Hungarian,Uralic,Latn,nem / ne,Ez egy könyv.,Ez nem könyv.,nem,B
F07-zh,F07,nominal_predicate,negation of an NP predicate,zh,Mandarin,Sino-Tibetan,Hans,bu / mei(you),这是一本书。,这不是一本书。,不是 (never 没是),B
F07-ja,F07,nominal_predicate,negation of an NP predicate,ja,Japanese,Japonic,Jpan,suffix -nai,これは本だ。,これは本ではない。,ではない,B
F07-ko,F07,nominal_predicate,negation of an NP predicate,ko,Korean,Koreanic,Kore,an- / -ji anh- / mot,이것은 책이다.,이것은 책이 아니다.,아니다 (suppletive),B
F07-vi,F07,nominal_predicate,negation of an NP predicate,vi,Vietnamese,Austroasiatic,Latn,khong,Đây là một quyển sách.,Đây không phải là một quyển sách.,không phải,C
F07-id,F07,nominal_predicate,negation of an NP predicate,id,Indonesian,Austronesian,Latn,tidak / bukan,Ini buku.,Ini bukan buku.,bukan (never tidak),B
F07-sw,F07,nominal_predicate,negation of an NP predicate,sw,Swahili,Niger-Congo,Latn,negative verb morphology,Hiki ni kitabu.,Hiki si kitabu.,si (neg. copula),C
F07-ta,F07,nominal_predicate,negation of an NP predicate,ta,Tamil,Dravidian,Taml,illai / alla,இது ஒரு புத்தகம்.,இது புத்தகம் அல்ல.,அல்ல (never இல்லை),C
F07-ga,F07,nominal_predicate,negation of an NP predicate,ga,Irish,IE/Celtic,Latn,ni / nil / nior / na,Is leabhar é seo.,Ní leabhar é seo.,ní (copula),C
F07-ka,F07,nominal_predicate,negation of an NP predicate,ka,Georgian,Kartvelian,Geor,ar / ver / nu,ეს წიგნია.,ეს წიგნი არ არის.,არ,C
F08-en,F08,ability,negated potential,en,English,IE/Germanic,Latn,particle+do-support,I can swim.,I cannot swim.,not,A
F08-es,F08,ability,negated potential,es,Spanish,IE/Romance,Latn,preverbal particle,Sé nadar.,No sé nadar.,no,A
F08-fr,F08,ability,negated potential,fr,French,IE/Romance,Latn,bipartite ne...pas,Je sais nager.,Je ne sais pas nager.,ne...pas,A
F08-pt,F08,ability,negated potential,pt,Portuguese,IE/Romance,Latn,preverbal particle,Sei nadar.,Não sei nadar.,não,A
F08-de,F08,ability,negated potential,de,German,IE/Germanic,Latn,particle + kein,Ich kann schwimmen.,Ich kann nicht schwimmen.,nicht,A
